P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09147420T0000|0 3|TAR
P11012680A0676|0 3|Src
P09639074A0707|0 3|Sp1
P09488441A0615|0 3|Sp1
P09488491A0000|0 3|E2F
P10413676A0000|0 3|FAK
P10817754T0000|0 3|H19
P10376991A0977|0 3|Ras
P10704410T0000|0 3|Clb
P09990315A0205|0 3|TPO
P09844921A0000|0 3|Raf
P09819110A0703|0 3|CD4
P09611234A0098|0 3|Rev
P09799237A0624|0 3|SRF
P10681520A0525|0 3|Ras
P09512550T0000|0 3|E1A
P10679065A0711|0 3|BCR
P10698516T0000|0 3|KFC
P09455695A0762|0 3|ALT
P08293993A0948|0 3|ENV
P09182707A0254|0 3|SPP
P09178752A0574|0 3|EGF
P09121430A0132|0 3|Shc
P09234703A0192|0 3|JNK
P09230307A0329|0 3|FOG
P09242506A1033|0 3|E2F
P09006914A0812|0 3|JNK
P09006935A0590|0 3|Sp1
P08798782A0976|0 3|Lck
P09045636A0789|0 3|CD3
P09366517A0835|0 3|PKA
P07657668A0642|0 2|TH
P08555597A0808|0 2|Hb
P09076336A0281|0 2|GH
P10400785A0912|0 2|SM
P11777632A1678|0 2|AF
P09892642A0172|0 2|E1
P01518849A0165|0 2|NE
P09813041A1122|0 2|GH
P09328476A0068|0 2|U4
P10364319A0109|0 2|Cp
P02840376A0461|1 9|anti-IIa
P10862289A0289|1 4|GUT
P07821790A1084|1 4|iv)
P08082440A0339a|1 3|LH
P10454568A0815|1 2|i
P07504171A0715|1 37|platelet-derived growth factor receptor
P02995967T0000|1 28|v-erbB-related protooncogene
P02747653A0910|1 26|larval albumin-like protein
P09361007A0922|1 26|DNase I-hypersensitive site
P07651398T0000|1 25|Drosophila shc gene product
P10498616A0157|1 11|G22V mutant
P10229668A0560|1 8|cdc33-1
P10228157T0000|1 6|Bub2p
P09168623A0614|1 5|xylE
P02335521T0000|2 41|NF1-related vitellogenin activator element
P01340470A0000|2 24|RNA-binding protein gene
P08621730T0000|2 21|AP-1 binding sequence
P08878044A1390|2 20|InlC deletion mutant
P07499252A0150|2 17|hGM-CSF receptor
P08521717A0126|2 18|immunoperoxidase
P09165118A0311|2 14|unc-4 mutants
P11134033A0639|2 14|int6 deletion
P09566871A0343|2 13|fus3 mutants
P09030688A0435|2 13|rlf2 mutants
P03194410A0771|2 12|UOxase mRNA
P09328476A0068|3 10|U6 snRNP
P09819411A0897|2 8|DNase I
P10779508A0452|2 8|DNase I
P09770493A0499|2 6|PP2A
P02076816T0000|2 6|RME1
P02482293A1518|2 5|TNF
P00050628A0202|2 5|IgG
P10512857A0000|2 5|Wnt
P07657668A0642|3 6|SH3
P08172905A0000|3 74|class II Escherichia coli alanine tRNA synthetase aminoacylates RNA miniduplexes
P09694897T0000|3 56|heterogeneous nuclear ribonucleoprotein C protein tetramer
P11027289A0000|3 46|Drosophila melanogaster suppressor of sable gene
P08529654A0589|3 42|B. germanica cyclophilin amino acid sequence
P09917387T0000|3 42|RNA polymerase III-recruiting factor TFIIIB
P10195690A0000|3 44|peroxisome proliferator-activated receptors
P01549118A0000|3 41|Caenorhabditis elegans vitellogenin genes
P02549036A0000|3 39|Bacillus subtilis phage phi 105 repressor
P09829843A0119|3 41|hematopoietic colony-stimulating factors
P09271417A1011|3 38|MCAD nuclear receptor response element 1
P10544088A0308|3 39|NF-kappaB responsive reporter construct
P09677330A0584|3 39|PDE4A-subfamily-specific linker region
P03143485A0366|3 37|Euglena ribosomal protein gene cluster
P07565113A0000|3 39|chloramphenicol-resistance transposon
P09765394A0000|3 37|Epstein-Barr virus transactivator Zta
P09169420A0000|3 37|mammalian phosphoinositide 3-kinases
P02023097A0000|3 34|human immunodeficiency virus type 1
P10438593A0000|3 35|human immunodeficiency virus type-1
P01703632T0000|3 34|Drosophila suppressor of sable gene
P07628438T0000|3 35|Drosophila insulin receptor homolog
P02784507A0000|3 34|human immunodeficiency virus type 1
P09409821T0000|3 35|Saccharomyces cerevisiae RAD30 gene
P07862168A0000|3 34|interleukin 2 receptor alpha-chain
P02167467T0000|3 33|26S rRNA binding ribosomal protein
P02185140A0000|3 34|Saccharomyces cerevisiae 14DM gene
P08157009T0000|3 34|Saccharomyces cerevisiae APS1 gene
P03123310A0000|3 33|Drosophila melanogaster Gart gene
P09712297T0000|3 33|prothrombin gene G20210A mutation
P10392903A0000|3 32|bovine papillomavirus E2 protein
P07862533A0000|3 32|Wilms' tumour suppressor protein
P09538220A0000|3 32|mitochondrial regulatory region
P02545357A0000|3 30|mustard chloroplast gene rps16
P08163183T0000|3 31|xylose isomerase-encoding gene
P08943032A0000|3 31|Escherichia coli tet-repressor
P08882492A0000|3 31|mammalian homeodomain proteins
P07659746A1464|3 31|CVA16.4 proteolipid transcript
P06324121A0256|3 29|12,000 MW (12K) IE polypeptide
P09747873T0000|3 31|SH2-containing adapter protein
P08349104A0000|3 30|Saccharomyces cerevisiae GAL1
P08039422A0000|3 28|nerve growth factor beta gene
P11152451A0529|3 30|Schistosoma mansoni homologue
P08396120A0690|3 29|rhaB transcription start site
P08816498A0000|3 30|serine/threonine kinase Raf-1
P01545792A0000|3 28|cardiac myosin light chain-2
P09852068A0150b|3 28|human SHBG proximal promoter
P09368100A1354|3 28|mHIF-1 alpha structural gene
P10810083A1283|3 29|serine-threonine kinase gene
P10972990A0196|3 29|tumor-suppressor protein p53
P08385131A0000|3 29|alpha 2A-adrenergic receptor
P10383966A0000|3 28|penicillin binding proteins
P07958446A0000|3 28|hepatocyte nuclear factor-3
P08148463A0000|3 28|colony-stimulating factors
P06308536T0001|3 26|hepatitis A virus antibody
P01852603A0000|3 26|rad9.192 DNA repair mutant
P09515924A0553|3 27|PDH complex-encoding genes
P02685331A0523|3 25|R. meliloti nifH promoter
P08101843A0151|3 26|tyrosine hydroxylase gene
P02466665A0202|3 26|small IGF-binding protein
P02247072A0794|3 26|SUP44 suppressor mutation
P02083253A1512|3 24|TCF-1 alpha binding site
P09488486A0000|3 25|TATA box-binding protein
P02967496A0182|3 26|cpc-1-encoded transcript
P10385395A0000|3 25|high density lipoprotein
P08816759A0000|3 24|retinoid Z receptor beta
P08485317A0000|3 24|fission yeast dsk1+ gene
P02164585A0416|3 24|TraD protein (83,899 Da)
P08442384T0000|3 24|SCH9 protein kinase mRNA
P03346210A0000|3 24|epidermal growth factor
P10708769A0433|3 23|Mif1 5' flanking region
P10438924T0000|3 23|B cell antigen receptor
P08415637A0000|3 25|ADP-ribosylation factor
P10613863T0000|3 24|VirR response regulator
P01826043A0431|3 24|pp90rsk-protein kinase
P01717833A1223|3 23|alpha inhibin promoter
P10022925A0870|3 22|Nmd3 protein sequence
P08534855A0000|3 22|Arabidopsis FAD7 gene
P11235817A0000|3 22|histamine H1 receptor
P01633435A0743|3 22|DRF-2 nuclear protein
P02280777T0000|3 22|uteroglobin promoter
P10861906A0999|3 21|delta srb10 mutation
P09323366A0000|3 21|malate synthase gene
P08021175A0486|3 21|pexB upstream region
P07622058A0411|3 21|PEBP2 alpha proteins
P09301350A0946|3 22|sputum interleukin-8
P09843378A0187|3 21|dopamine D4 receptor
P01549346A0000|3 21|c-Ets-1 oncoprotein
P08530342T0000|3 20|human gp39 promoter
P07927130A0625|3 22|hyperimmunoglobulin
P09819430A0000|3 21|Ras-related GTPases
P02532210A0000|3 20|adenovirus E1A gene
P01837787T0000|3 19|murine Mov-34 gene
P08387994A0980|3 19|orf61 gene product
P10660069A0819|3 20|rrd1,2delta mutant
P09801333A0174|3 19|full-length N gene
P08771781A1103|3 19|ORFII gene product
P09524259A0301|3 19|hp55 gamma protein
P08087887A1067|3 20|polyubiquitin gene
P02237431A0833|3 19|Ets-1 binding site
P02154599T0000|3 20|zta transactivator
P02406570A0466|3 20|ABFI-binding sites
P10430886A0838|3 20|C-terminal mutants
P02868446A0184|3 20|C-terminal domains
P01398074A1081|3 18|RNase MRP RNA gene
P10036191A0000|3 21|microphthalmia-TFE
P07647303T0000|3 19|homeobox gene ATK1
P08324107A0000|3 19|plasmatic albumin
P09368014A0740|3 18|lysozyme FEF site
P10650938T0000|3 19|estrogen receptor
P08503348A0226|3 18|HMG CoA reductase
P07784199A0000|3 19|ribosomal protein
P09694860A0498|3 19|C-terminal region
P09421507A0000|3 18|SR protein family
P11181525T0000|3 19|androgen receptor
P01895384A0746|3 17|IE0 gene product
P08183552T0000|3 17|human eps15 gene
P09029104A0226|3 18|14.1(IGLL1) gene
P07835886A0894|3 18|kallistatin gene
P11500512A0000|3 17|human ABCG1 gene
P09219526A0383|3 19|Man9-mannosidase
P10209031A0832|3 17|Fyn NH2 terminus
P11070056A0704|3 18|Cili-2 sequences
P07553942A0810|3 17|pea rps10 intron
P07559356T0000|3 17|hypBFCDE operon
P11179689A0000|3 16|Sox gene family
P10051400A0000|3 16|Lp mouse mutant
P08660998A0851|3 17|mMIWC1 promoter
P01601181A0842|3 17|60A transcripts
P02022920A0334|3 16|C4BP alpha gene
P01824713A0964|3 16|12S E1A product
P10598101A0754|3 17|mEmBP-1 protein
P08223425T0000|3 16|yeast SSS1 gene
P09858571T0000|3 16|yeast RER2 gene
P02403926A0000|3 17|trk-2h oncogene
P10359673A0000|3 16|yeast LPD1 gene
P08567683A0401|3 16|human purH cDNA
P09705497A0227|3 16|yeast MMS2 gene
P03137346A0319|3 16|nucleolin gene
P09201980A0910|3 16|p20-CGGBP gene
P10997904A1258|3 16|Spo0F residues
P10843716A0406|3 16|tryptase locus
P09467900A0701|3 16|CAPLC1 protein
P07937106A0100|3 16|v-ets oncogene
P09862481A0000|3 16|Mig1 repressor
P09003001A1909|3 16|E-box sequence
P01711041A0962|3 16|C5 alpha-chain
P08970984A0765|3 15|SCMV SNE sites
P08220494A0231|3 16|T-cyt promoter
P08262041A0727|3 15|phi AP3 factor
P07797476A1001|3 15|RAP74 subunit
P06120429T0000|3 16|thyroglobulin
P08977401A0227|3 14|RI alpha gene
P08576262A0160|3 15|IL-8 receptor
P07678051A1303|3 15|PDGFR mutants
P08643111A0855|3 15|humanized LL2
P07774807A0405|3 15|bHLH proteins
P11084334A0590|3 15|swa2-1 allele
P07473742A0187|3 15|protein ELT-1
P07969116A0196|3 15|Nur77 protein
P02004705A0686|3 15|cdr1 sequence
P10447597A1004|3 15|Cr.psbA-4 ORF
P08491383A0154|3 16|alpha-subunit
P03007281A0905|3 14|Dox-A2 locus
P10458907A0543|3 14|human RAD30B
P08972182A0000|3 14|Fas receptor
P09636708A0460|3 14|YccA protein
P09111331A0119|3 14|Rlm1 protein
P08702756A0000|3 14|small GTPase
P09195923A0125|3 15|immunophilin
P10369965A0000|3 14|Aa-Pri2 gene
P08901135A1132|3 14|NIT2 protein
P09264466A0947|3 14|Cut9 subunit
P08597636A0000|3 13|T-box motif
P08499916A0000|3 13|COL7A1 gene
P11331589A0113|3 13|MSL complex
P01744042A1355|3 13|csbA fusion
P10567524T0000|3 13|elm1 kinase
P10715325A0834|3 13|AtERF genes
P08412665A0000|3 13|scr regulon
P08219081A0000|3 13|PRB-1b gene
P08574583A0658|3 13|Clb5 kinase
P10777217A0536|3 14|p53-homolog
P08232412A1342|3 13|lemdr1 gene
P03883541A0200|3 13|H2 receptor
P10777669A0582|3 13|ZNF274 gene
P08584026A0115|3 13|hIGF-I gene
P09023197T0000|3 13|dnaK operon
P07568026A0622|3 13|Stat5b mRNA
P07514301A0000|3 13|interferon
P08914522A0118|3 12|STE20 gene
P07947930A0499|3 13|fibrinogen
P09658405A0000|3 12|Dax-1 gene
P08496157A0000|3 12|bcl-2 gene
P08898893A0202|3 12|PAI-2 gene
P08524294A0652|3 12|skp1+ gene
P01316476A1428|3 11|ORF 4 gene
P10773667A0351|3 12|HMG domain
P02674327A0493|3 12|p34.8 gene
P07779812A0000|3 12|c-myc gene
P02970061A0271|3 12|RAD18 gene
P09380504A1255|3 12|ZnF20 cDNA
P07677715A1076|3 12|TAF factor
P07857762A0611|3 12|MAP kinase
P09029159A0000|3 13|interferon
P08682155A0902|3 13|euglobulin
P08125319A1085|3 12|ipiO genes
P09426239A0386|3 12|cglIM gene
P08668124A0744|3 12|Dox-A2 ORF
P09528784A0000|3 12|mei4+ gene
P07798134T0000|3 12|hsp70 gene
P10333526A0459|3 12|hTERT gene
P07731686A0000|3 12|TTG-2 gene
P11098217A0674|3 12|Aie1 locus
P09754571A1257|3 12|hBRAG gene
P10455189A0427|3 13|calcitonin
P01569945A0529|3 11|SEN1 gene
P10207049A0693|3 11|GAC1 gene
P09727046A0784|3 11|CBF1 site
P02247069A0261|3 11|TUP1 gene
P02163394T0000|3 11|sacT gene
P01457380A0000|3 12|tramtrack
P02121371T0000|3 11|NF1 locus
P11152070A0573|3 11|actA gene
P08633855A1064|3 11|lacS gene
P08063108A0109|3 11|acfD gene
P08878037A0000|3 11|gene ccpA
P08007975A0000|3 11|IPL1 gene
P02473907A1338|3 11|84.1C mAb
P02023904A0120|3 11|CDC7 gene
P11031252A0646|3 11|LMW FGF-2
P07626806A1098|3 11|RAT3 gene
P08413186A1199|3 11|Ntl1 gene
P07890740A0997|3 11|PSD2 gene
P06698047A0445|3 12|Prolactin
P11073954A0337|3 11|Psc2 cDNA
P02138915A1060|3 10|p36 gene
P02038326A0538|3 11|gcd2-503
P03040403A0155|3 10|PSS gene
P02148799A0000|3 10|nmr gene
P09294422A1376|3 10|por gene
P07890674A0916|3 11|catenins
P08542027A1471|3 10|XS2 gene
P09049306A0830|3 10|HBP gene
P09427544A0000|3 10|pel gene
P09005979A0841|3 10|GHR mRNA
P10564593A1618|3 10|MXR gene
P08209772A0167|3 10|ns2 gene
P07933116A0412|3 10|p55 mRNA
P03065610A0375|3 10|rci gene
P07964624A0491|3 10|P131 ORF
P01573270A0000|3 9|IA4 mAb
P07592658A0309|3 10|insulin
P08934540A0673|3 10|nm23-H1
P10330396A0387|3 10|RanQ69L
P11355576A1125|3 10|cyclins
P08429019A0735|3 9|DNase I
P08415643A0555|3 9|E1 gene
P10801860A0000|3 10|Siglecs
P10652800A0984|3 10|insulin
P07926774A0652|3 10|p73pct1
P01657249A1019|3 9|anti-I
P07752223A0960|3 8|Myc LZ
P08985415A1096|3 9|STAT-1
P08514766A0732|3 9|GTPase
P09202669A0614|3 9|pWP-19
P11244568A0506|3 9|Gap69C
P08876167A0717|3 9|HiNF-D
P07508954A0000|3 9|avidin
P11014821T0000|3 9|LAMMER
P08820642A0173|3 9|harpin
P07835088A0238|3 9|HSD3B1
P01615493A0408|3 7|HC II
P09426068A0826|3 8|c-myc
P10936051T0000|3 8|RS447
P03001645A0785|3 8|pet56
P09655248A0000|3 8|gp330
P09132061A0828|3 7|atp 1
P09861365A0000|3 8|Og4C3
P08134108A0277|3 8|c-myc
P01545818A0696|3 7|p130
P08001792A0284|3 7|git1
P10681520A0525|4 8|GRF1
P08647086A0720|3 7|Cdk2
P10611228A1388|3 7|DAP5
P11313946A0449|4 8|RGL3
P08828152A1825|3 7|RPO1
P08278548A0597|3 7|psaD
P06316347A0852|3 7|dnaQ
P08524314A0216|3 7|TEA1
P08483412A0000|3 7|nifJ
P08021177A0000|3 7|fepA
P08206848A0296|3 7|pyrR
P07546294A0000|3 7|RAD6
P07730273A1309|3 7|NarX
P01549123A0480|3 7|MET4
P08768374A0765|3 7|P-wr
P08740416A0919|3 7|SEB1
P01710979T0000|3 6|SH2
P09308234A0225|4 7|Max
P08918464A0225|4 7|RON
P10487217A0735|3 6|C2C
P10597232A0000|3 6|RET
P11080796A1277|3 6|Tax
P09528770A1379|3 6|RAS
P08396667T0000|4 7|ABL
P08631908A0224|4 7|RXR
P08835895A1292|3 6|CD4
P08948440A0628|3 6|ERH
P07326596A0061|3 6|IgA
P09763446A1234|3 6|GEF
P01780235A0094|3 6|EPO
P11069999A1602|3 6|U17
P01422265A0263|3 6|IgG
P09325135A0737|3 6|Trx
P09343432A0209|3 6|Scm
P07720710A0861|3 6|Oct
P10728986A0000|3 6|Wnt
P08302589A1132|3 6|HGF
P07876300A0994|3 6|p97
P02170687A0000|3 5|E6
P11433379A0000|4 47|SHP2-interacting transmembrane adaptor protein
P07567980T0000|4 32|p53 DNA-binding domain peptides
P11570820T0000|4 25|casein kinase I isoforms
P09537375A0198|3 21|gntR deletion mutant
P09888994A0858|4 22|Tbx6-subfamily gene
P02556264A0278|4 17|TC-II enhanson
P02997622A0916|4 17|L-myc sequence
P02480959A0470|4 16|P-450scc mRNA
P08514757A1100|4 17|immunophilins
P10333529A0277|4 15|betaAPP mRNA
P08621661A1035|4 13|P5CDh cDNA
P08564488A1359|4 14|fibrinogen
P10640683A0204|5 12|NeuroD2
P01309894A0807|4 9|Rep78
P09858599A0392|4 9|NUP98
P08995681A0518|4 9|ICP27
P09867253A0229|4 9|c-Jun
P01459451A0478|5 9|VP16
P09020138A0833|4 8|HEF1
P10564474T0000|5 9|PhoQ
P10086725A0000|5 9|EVI1
P11387208T0000|5 9|SnRK
P02487898A0315|4 7|NGF
P08604338A0198|4 7|EWS
P11560992A0651|5 8|JNK
P07891708A0690|4 7|Epo
P08858211A0694|4 7|GAP
P02969819A0814|4 6|JH
P01524549A0241|4 6|GH
P09398855A0438|4 5|V
P02278474A0000|5 30|Fibrin Degradation Products
P02468795A1086|5 29|prostatic acid phosphatase
P03934667A0124|5 29|chromosomal crsA mutations
P09827878A0091|5 26|glutathione peroxidase
P09451003A0894|5 22|Esigma54 promoters
P03443144A0409|4 19|aspirin esterase
P02991060A0465|5 18|IgG antibodies
P10022905A0446|5 17|mog-1 alleles
P09466267A1192|5 16|himA mutants
P09506990T0000|5 16|ZFM1 protein
P09892642A0172|4 15|DNA helicase
P10854699A0424|5 16|FGF-AS cDNAs
P01469042A0355|5 15|CENP-B gene
P11029700A0295|5 14|Pt;cycH;1
P09083291A1378|5 14|TGF-beta1
P00993176A0066|5 14|myoglobin
P10430890A1059|5 13|elongin C
P00445259T0000|5 13|ferritin
P11106667A1061|5 12|Pet111p
P01285358A0396|5 12|gastrin
P00984209A0614|5 12|gastrin
P08621628A1233|5 12|hGRbeta
P08208618A1334|5 11|HR21ap
P10710742T0000|5 11|leptin
P11203702A1307|5 11|Xlim-1
P07720709A0755|5 11|Ki-ras
P01708098A0922|5 11|avidin
P10376873A0706|5 11|sgRNA2
P08723883A0823|5 11|GSH-Px
P07687541A0992|5 10|RCC1p
P09407036T0000|6 11|Crz1p
P09786932A1042|5 10|IRF-7
P09712898A0911|5 10|TRAF2
P09346935A0927|5 10|ZNF74
P00030937A0119|5 9|SGOT
P09584194A0000|5 9|p130
P07761434A1084|5 9|AP-1
P00232354A0286|5 9|ACTH
P11560992A1184|5 9|MKK7
P10662550A0679|5 9|SOX8
P08035833A1556|5 9|YMIP
P11435578A0760|5 9|TxRE
P01321277A0664|4 7|SRC
P09389669A1009|5 8|dpp
P06946314T0000|5 8|IgE
P09400613A1209|5 8|GST
P00369397A0280|5 8|FSH
P07935491A0495|5 8|RZR
P01695098A1116|5 8|IgG
P11113199A0800|5 8|MEK
P10851089A1248|5 8|SAG
P02029468A0296|5 8|TNF
P10330159A1258|5 8|VDR
P03862898A0563|5 8|IgM
P09389666A0538|5 8|Hex
P10807903A0362|6 8|CT
P07520098A0211|5 40|B6-derived Db mutant B6.CH-2bm13 (bm13)
P09655916A0415|5 34|DNA recognition helix of finger II
P01328681A0149|6 25|LTR-binding proteins
P10698516T0000|5 21|Ste20-like kinase
P05114515T0000|6 21|lysosomal enzyme
P08795304T0000|6 20|thrombomodulin
P08790387A0299|5 17|rat rnu allele
P08986812A1214|6 18|wild-type p53
P09000632A2341|5 15|p51 subunit
P09510925A0389|5 16|haemoglobin
P06851280A0144|6 16|fibrinogen
P11287611A0802|6 15|PPARgamma
P01657415A0837|6 14|K1 cox1.2
P10600171A1432|6 13|CYP3A23
P08813900A1088|6 13|phytase
P03006066A0653|6 13|P135gag
P10866689A0295|5 11|pRb(-)
P09287036A0457|6 12|leptin
P09278475A0465|6 11|scs32
P10026784A2166|5 10|Oct-1
P02179815A0582|6 10|p59v
P08497273T0000|6 10|BSAP
P08530503A1004|6 9|ARF
P01518849A0165|5 8|PR3
P09877417A0704|6 9|CCK
P02170687A0000|6 8|E7
P09398855A0438|6 7|D
P10490826T0000|6 42|tyrosine kinase signal transduction gene
P09528770A1379|7 39|cyclic AMP-dependent protein kinase
P10480937A0000|6 36|Drosophila A kinase anchor protein
P10390538T0000|6 38|Raf-responsive zinc-finger protein
P11245986T0000|6 34|growth-related nuclear protein
P08336698T0000|6 34|basic helix-loop-helix protein
P04810131T0000|7 33|Aryl hydrocarbon hydroxylase
P10571047A1009|7 31|7SL RNA-encoding sequences
P08283292A0779|7 29|LDL and liver cholesterol
P10619353T0000|6 28|estrogen receptor ligand
P07516469A1025|7 29|Src SH3-binding proteins
P06281759A1086|7 26|RNase III host mutants
P02417023T0001|6 25|superoxide dismutase
P11376165T0000|6 20|Cre recombinase
P06953957A0503|7 21|creatine kinase
P09494078A1362|6 19|5HT5A receptor
P08057833A0573|6 18|ParA proteins
P10667597A0668|6 16|HZF16 genes
P03687313A0000|6 17|glucosidase
P00601401A0181|6 16|hemoglobin
P01653238A1715|6 15|TGF-beta 1
P01825027T0000|6 15|yeast gene
P01993656A1860|6 14|ARF cDNAs
P09022040A0263|7 16|L-plastin
P02789217A1323|6 13|IL6 mRNA
P10858988A0786|6 14|tryptase
P11080796A1277|7 15|IKKgamma
P09535835A0279|7 15|Kinectin
P09352016A1110|6 13|AF G-CSF
P11462952A1040|7 14|gastrin
P09434160A0767|7 14|PTPases
P07935418A0447|6 12|v-erbA
P09560221A0282|6 12|cak1At
P10925159A1353|7 13|MARTA1
P09414319A1442|7 13|Surf-2
P09840934A0435|7 13|Ha-Ras
P07816049A0686|7 13|Athyp1
P07730336A0606|7 12|ATF-1
P08138180A0593|7 12|spt10
P10207087A0956|6 11|AML1B
P09800187A0100|7 12|Trp53
P11278290A1220|7 12|Smad2
P07937965T0000|6 11|c-myc
P11220486A0686|6 11|IL-12
P09480929T0000|7 11|FasR
P10871379A0261|6 10|VP16
P10817754T0000|6 10|Igf2
P10597232A0000|7 11|PTC3
P09726987T0000|6 10|SPT3
P08836740A1025|7 11|CES1
P10918572A0794|6 10|VaII
P08325504A0226|7 11|RD19
P01378052A0594|7 11|acoR
P07559555A0557|7 10|ERM
P10682570A0453|6 9|SOD
P09147420T0000|6 9|Sp1
P10487217A0735|7 10|Prx
P09006914A0812|6 9|p38
P09806919A0447|7 10|usp
P09632734A0943|7 10|p82
P11069999A1602|7 10|U16
P07559510A0000|8 39|Micrococcus luteus UV endonuclease
P10690702A0065|8 39|Acetylcholine receptor antibodies
P10669751T0000|8 38|mitogen-activated protein kinase
P07276210T0000|7 33|serum immunoreactive trypsin
P09584180A0701|7 33|IL-4-inducible reporter gene
P08808927A0417|7 29|HindIII genomic fragment
P07958911A0500|7 27|trithorax binding site
P02194273A0913|8 28|hyperimmune globulins
P10648020A0151|8 27|Von Willebrand factor
P04321861T0001|8 28|glutathione reductase
P09710615T0000|7 27|SNAP-25-like molecule
P10873388A0623|7 24|human Rhotekin cDNA
P08542026A0792|6 22|70 kD glycoprotein
P10878944A0000|8 23|diphtheria toxin
P01324385A0329|8 21|IgG antibodies
P08932363A0807|7 20|E1A N-terminus
P08665853A0228|7 20|interleukin-3
P11167778T0000|8 20|antithrombin
P11367523A2624|8 19|C4B proteins
P07601827A0778|7 18|lacZ fusions
P10602502A0422|7 17|Tob protein
P01265887T0001|8 18|factor VIII
P01328854T0000|7 16|MEF-2 site
P01742879A0471|8 17|Plasma AVP
P11773921A0397|8 18|P-selectin
P11160280A1275|7 16|IFN-gamma
P00598012A0174|7 16|prolactin
P08428952A0399|8 17|L-plastin
P08990168A0688|8 15|p48 gene
P09920930A0959|8 15|C3 toxin
P11092850A1023|7 14|16S rRNA
P09789025A0149|8 16|Galpha12
P10660604A0748|7 14|CARbeta
P10197985A0145|7 13|RNase H
P09442072A0716|7 13|DNase I
P07935383A0108|7 13|RNase H
P08918810A0967|7 13|DNase I
P10557072A0418|7 13|UNC-51
P07557091A0314|8 14|rHb1.1
P09780002A0996|8 14|E2FBP1
P02555177A0488|7 12|pet54
P09032248A0239|8 13|Pho85
P09435789A0961a|8 13|RAD17
P08604338A0198|8 13|FLI-1
P09315678A0278|8 13|Cbf5p
P10483945A0641|8 13|CK-MB
P11285235A0466|8 13|TRPS1
P08833653A0783|8 13|isl-1
P06316347A0852|8 12|lacZ
P08497280T0000|8 12|SWI6
P08510647A1347|7 11|Beg1
P09671464A0316|8 12|SNF1
P08021177A0000|8 12|entD
P08094464A0869|8 12|tyrA
P07616563A0532|8 12|CarP
P07546294A0000|8 12|UBC2
P10931950A0869|7 11|MAPK
P11114924A0808|7 11|ccdA
P08683106A0374|8 12|IL-2
P10721717A0676|7 11|FGD1
P09736697A1107|7 11|ERKs
P02462523A0394|7 11|KpnI
P09020169A0552|7 11|SIM2
P09705352A0879|8 12|Hsk1
P09753775A0734|8 12|ICK1
P09767593A0130|8 12|YopH
P10471746A1102|7 11|MyoD
P06972179A0556|8 11|IgE
P10611228A1388|8 11|p86
P08522511A1250|8 11|PLB
P08663310A0157|8 11|SRF
P08997532A0116|8 11|IgG
P11046153A1052|8 11|Tax
P10713176A0885|9 12|cdk
P09079902A0713|8 11|Pra
P10438950A0580|7 10|TNF
P09086268A0611|8 10|P7
P10936051T0000|8 50|human megasatellite tandem repetitive sequence
P01337142A2043|8 46|human glycoprotein alpha-subunit promoter
P08618433A0000|8 43|hematopoietic growth factor FLT3 ligand
P07880442A0236|8 42|PKC beta transcription initiation site
P07524265T0000|9 44|granulocyte-colony stimulating factor
P08663326A0000|8 38|sigma54-dependent DmpR activator
P09788739A1096|7 34|CD44-associated serine kinase
P03186091T0000|8 34|plasma cystyl aminopeptidase
P09159183A0119|8 32|ocs element binding factors
P09383156A0691|8 29|RNase E cleavage product
P08524314A0216|8 27|Ty enhancer activator
P08227129T0000|8 28|myosin-binding domain
P01849734A1063|8 26|PR55 beta transcript
P11198289T0000|9 27|serum ceruloplasmin
P09681822A0520|9 27|c-erbB3 transcripts
P08048916A0000|7 23|insulin receptors
